Ref,Val,Package,PosX,PosY,Rot,Side
"D1","B5819W","D_SOD-123",-17.550000,98.550000,180.000000,bottom
"D2","B5819W","D_SOD-123",-17.550000,95.200000,180.000000,bottom
"D3","B5819W","D_SOD-123",-49.550000,95.300000,180.000000,bottom
"D4","B5819W","D_SOD-123",-49.700000,98.800000,180.000000,bottom
"IC3","VNLD5160-E","SOIC127P600X175-8N",-42.800000,95.800000,90.000000,bottom
"IC4","VNLD5160-E","SOIC127P600X175-8N",-23.800000,96.550000,90.000000,bottom
"R5","4.7k","R_0402_1005Metric",-25.810000,102.800000,180.000000,bottom
"R6","4.7k","R_0402_1005Metric",-25.900000,105.050000,180.000000,bottom
"R7","4.7k","R_0402_1005Metric",-42.550000,105.040000,180.000000,bottom
"R8","4.7k","R_0402_1005Metric",-42.550000,103.050000,180.000000,bottom
"BT1","CR1220","CR1220-2",-70.200067,20.800000,0.000000,top
"C1","10n","C_0603_1608Metric",-8.074993,85.306671,0.000000,top
"C2","100n","C_0603_1608Metric",-8.074993,82.796671,0.000000,top
"C3","10n","C_0603_1608Metric",-8.074993,80.286671,0.000000,top
"C4","100n","C_0603_1608Metric",-8.074993,77.776671,0.000000,top
"C5","1u","C_0603_1608Metric",-8.074993,75.266671,0.000000,top
"C6","10u","C_0603_1608Metric",-44.895000,91.140000,0.000000,top
"C7","10u","C_0603_1608Metric",-44.895000,88.630000,0.000000,top
"C8","10u","C_0603_1608Metric",-44.895000,86.120000,0.000000,top
"C9","10u","C_0603_1608Metric",-44.895000,83.610000,0.000000,top
"C10","10u","C_0603_1608Metric",-44.895000,81.100000,0.000000,top
"C11","10u","C_0603_1608Metric",-40.885000,91.140000,0.000000,top
"C12","10u","C_0603_1608Metric",-40.885000,88.630000,0.000000,top
"C13","10u","C_0603_1608Metric",-40.885000,86.120000,0.000000,top
"C14","10u","C_0603_1608Metric",-40.885000,83.610000,0.000000,top
"C15","10u","C_0603_1608Metric",-40.885000,81.100000,0.000000,top
"C16","100n","C_0603_1608Metric",-36.875000,91.140000,0.000000,top
"C17","10n","C_0603_1608Metric",-36.875000,88.630000,0.000000,top
"C18","10n","C_0603_1608Metric",-36.875000,86.120000,0.000000,top
"D5","1N4148WS","D_SOD-323",-57.530014,19.235263,0.000000,top
"D6","B5819W","D_SOD-123",-62.269993,41.286671,0.000000,top
"D7","B5819W","D_SOD-123",-62.269993,37.936671,0.000000,top
"D8","B5819W","D_SOD-123",-62.269993,34.586671,0.000000,top
"D9","B5819W","D_SOD-123",-62.269993,31.236671,0.000000,top
"D10","NUP2105L","SOT-23",-14.512500,75.750000,0.000000,top
"F1","Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",-82.414993,33.916671,0.000000,top
"IC1","VNLD5160-E","SOIC127P600X175-8N",108.739993,76.403329,0.000000,top
"IC2","VNLD5160-E","SOIC127P600X175-8N",122.012000,75.385000,0.000000,top
"IC5","VNLD5160-E","SOIC127P600X175-8N",113.050000,49.300000,0.000000,top
"IC6","VNLD5160-E","SOIC127P600X175-8N",122.012000,49.185000,0.000000,top
"J1","175446-6","1754466",11.950000,86.350000,90.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",98.550000,33.340000,0.000000,top
"J4","USB_B_Mini","USB_Mini-B_Wuerth_65100516121_Horizontal",63.550000,4.825000,0.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",-16.200000,41.340000,0.000000,top
"J6","Conn_02x03_Top_Bottom","Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical",9.450000,80.950000,-90.000000,top
"J7","Conn_02x20_Odd_Even","IDC-Header_2x20_P2.54mm_Vertical",6.300000,13.300000,180.000000,top
"J9","Conn_02x06_Top_Bottom","Molex_Mini-Fit_Jr_5566-12A_2x06_P4.20mm_Vertical",90.800000,64.050000,90.000000,top
"L1","470R@100MHz","L_0603_1608Metric",-8.074993,72.756671,0.000000,top
"L2","470R@100MHz","L_0603_1608Metric",-8.074993,70.246671,0.000000,top
"M1","Module-mega-mcu144-0.7","mega-mcu144",19.874998,64.575001,-90.000000,top
"M2","Module-vr-max9924-0.1","vr-max9924",60.200000,83.462500,-90.000000,top
"M3","Module-vr-discrete-0.5","vr-discrete",49.700000,83.462500,-90.000000,top
"M4","Module-power_12and5V-0.3","power_12and5V",31.050000,1.800001,90.000000,top
"M5","Module-wbo-0.6","wbo",37.350000,84.050000,180.000000,top
"M6","Module-knock-0.2","knock",-23.050000,54.925000,0.000000,top
"M7","Module-can-0.1","can",49.125002,11.675000,0.000000,top
"Q2","BSS138","SOT-23",-82.944993,29.871671,0.000000,top
"R1","4.7k","R_0402_1005Metric",-22.434993,68.416671,0.000000,top
"R2","4.7k","R_0402_1005Metric",-22.434993,66.426671,0.000000,top
"R3","4.7k","R_0402_1005Metric",-22.434993,64.436671,0.000000,top
"R4","4.7k","R_0402_1005Metric",-22.434993,62.446671,0.000000,top
"R9","10k","R_0402_1005Metric",-19.524993,62.446671,0.000000,top
"R10","510R","R_0402_1005Metric",-19.524993,60.456671,0.000000,top
"R11","4.7k","R_0402_1005Metric",-16.614993,68.416671,0.000000,top
"R12","4.7k","R_0402_1005Metric",-16.614993,66.426671,0.000000,top
"R13","4.7k","R_0402_1005Metric",-16.614993,64.436671,0.000000,top
"R14","4.7k","R_0402_1005Metric",-16.614993,62.446671,0.000000,top
"R15","4.7k","R_0603_1608Metric",-36.875000,83.610000,0.000000,top
"U7","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",74.775000,61.705000,0.000000,top
"U8","TLE9201SG","Infineon_PG-DSO-12-11",-33.750000,96.550000,0.000000,top
